Site_ID,Site_Name,lat,lon,elevation,Species_ID,Species,Genus,Individual_ID,Phenophase_ID,year,doy,Tmax_Winter,Tmin_Winter,Tmax_Spring,Tmin_Spring,Prcp_Winter,Prcp_Spring,spp,MAT,MAP,Tave_wt,Tmin_wt,Tmax_wt,Tave_sp,Tmin_sp,Tmax_sp,PPT_wt,PPT_sp,LT_Tave_wt,LT_Tmin_wt,LT_Tmax_wt,LT_Tave_sp,LT_Tmin_sp,LT_Tmax_sp,LT_PPT_wt,LT_PPT_sp,LT_MAT,LT_MAP,Tave_wt_anm,Tmin_wt_anm,Tmax_wt_anm,Tave_sp_anm,Tmin_sp_anm,Tmax_sp_anm,PPT_wt_anm,PPT_sp_anm,spp_site
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,483,2016,124,-8.87,-17.68,9.16,-3.48,3,54,Populus balsamifera,0.6,501,-11.9,-16.1,-7.8,3,-2.5,8.5,10,54,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,5.66611570247934,6.28264462809917,4.95206611570248,3.8231404958677686,4.410743801652893,3.234710743801653,-0.8192141042880622,0.2104483141904409,Populus balsamifera_5076
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,483,2017,132,-14.36,-22.83,4.57,-9.74,108,33,Populus balsamifera,-0.3,493,-15.5,-19.7,-11.4,-1.5,-7.4,4.5,114,38,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,2.0661157024793404,2.6826446280991725,1.3520661157024794,-0.6768595041322314,-0.48925619834710776,-0.7652892561983471,1.0609592111160915,-0.1482030381622823,Populus balsamifera_5076
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,501,2017,132,-14.36,-22.83,4.57,-9.74,108,33,Populus balsamifera,-0.3,493,-15.5,-19.7,-11.4,-1.5,-7.4,4.5,114,38,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,2.0661157024793404,2.6826446280991725,1.3520661157024794,-0.6768595041322314,-0.48925619834710776,-0.7652892561983471,1.0609592111160915,-0.1482030381622823,Populus balsamifera_5076
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,483,2019,126,-12.28,-20.96,9.71,-3.09,56,46,Populus balsamifera,0.9,571,-13.7,-18,-9.5,3.6,-1.9,9.1,63,59,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,3.866115702479341,4.382644628099172,3.2520661157024797,4.423140495867768,5.010743801652893,3.8347107438016526,0.13895114298520841,0.3225268618006669,Populus balsamifera_5076
5076,Goldstream uplands,64.925751,-147.880295,311,320,balsamifera,Populus,9575,483,2020,133,-17.97,-26.39,5.17,-7.51,43.15,97.22,Populus balsamifera,-1.8,553,-19.2,-23.6,-14.9,-0.3,-5.7,5,50,99,-17.56611570247934,-22.382644628099172,-12.75206611570248,-0.8231404958677686,-6.910743801652893,5.265289256198347,55.31404958677686,44.611570247933884,-2.01900826446281,382.89256198347107,-1.633884297520659,-1.2173553719008297,-2.1479338842975206,0.5231404958677686,1.2107438016528924,-0.2652892561983471,-0.0960705214403108,1.219155242682475,Populus balsamifera_5076
5037,Coldfoot,67.252335,-150.183746,323,320,balsamifera,Populus,10104,483,2010,141,-16.18,-24.83,4.65,-8.88,22,54,Populus balsamifera,-4.6,438,-21.3,-26.2,-16.4,-2.8,-9.9,4.2,55,73,-24.696694214876032,-29.976859504132232,-19.40495867768595,-6.972727272727273,-14.185950413223141,0.2396694214876033,77.57851239669421,55.231404958677686,-6.8429752066115705,442.8181818181818,3.3966942148760317,3.776859504132233,3.004958677685952,4.172727272727273,4.285950413223141,3.960330578512397,-0.29104080110791514,0.32171180607511596,Populus balsamifera_5037
5037,Coldfoot,67.252335,-150.183746,323,320,balsamifera,Populus,10104,483,2011,141,-18.51,-27.56,2.57,-11.64,46,23,Populus balsamifera,-5.5,500,-24.7,-29.8,-19.7,-5.6,-12.9,1.7,73,41,-24.696694214876032,-29.976859504132232,-19.40495867768595,-6.972727272727273,-14.185950413223141,0.2396694214876033,77.57851239669421,55.231404958677686,-6.8429752066115705,442.8181818181818,-0.0033057851239668423,0.1768595041322314,-0.29504132231404867,1.372727272727273,1.2859504132231407,1.4603305785123966,-0.05901779056141464,-0.25766871165644173,Populus balsamifera_5037
5037,Coldfoot,67.252335,-150.183746,323,320,balsamifera,Populus,10104,501,2011,138,-18.51,-27.56,2.57,-11.64,46,23,Populus balsamifera,-5.5,500,-24.7,-29.8,-19.7,-5.6,-12.9,1.7,73,41,-24.696694214876032,-29.976859504132232,-19.40495867768595,-6.972727272727273,-14.185950413223141,0.2396694214876033,77.57851239669421,55.231404958677686,-6.8429752066115705,442.8181818181818,-0.0033057851239668423,0.1768595041322314,-0.29504132231404867,1.372727272727273,1.2859504132231407,1.4603305785123966,-0.05901779056141464,-0.25766871165644173,Populus balsamifera_5037
5037,Coldfoot,67.252335,-150.183746,323,320,balsamifera,Populus,10104,501,2012,156,-18.28,-27.54,1.08,-12.09,82,19,Populus balsamifera,-7.1,442,-22.9,-27.5,-18.3,-6.6,-13.5,0.3,110,33,-24.696694214876032,-29.976859504132232,-19.40495867768595,-6.972727272727273,-14.185950413223141,0.2396694214876033,77.57851239669421,55.231404958677686,-6.8429752066115705,442.8181818181818,1.7966942148760339,2.476859504132232,1.10495867768595,0.372727272727273,0.6859504132231411,0.060330578512396676,0.4179183977841697,-0.40251384108933114,Populus balsamifera_5037
2099,home,58.402012,-134.588974,15,320,balsamifera,Populus,18848,483,2013,141,0.28,-3.63,7.14,-0.45,562,431,Populus balsamifera,6,1785,-1.1,-2.9,0.7,3.9,0.3,7.5,431,336,-2.288429752066116,-4.8487603305785125,0.2702479338842975,4.825619834710744,0.8041322314049587,8.853719008264463,357.3057851239669,273.10743801652893,5.268595041322314,1627.2396694214876,1.1884297520661158,1.9487603305785126,0.42975206611570244,-0.9256198347107438,-0.5041322314049588,-1.3537190082644628,0.20624971087569974,0.23028505719300366,Populus balsamifera_2099
